Date,Close
14/01/2022,1950
17/01/2022,1855
18/01/2022,1780
19/01/2022,1725
20/01/2022,1935
21/01/2022,1945
24/01/2022,1885
25/01/2022,1760
26/01/2022,1805
27/01/2022,1765
28/01/2022,1770
31/01/2022,1770
2/2/2022,1780
3/2/2022,1840
4/2/2022,1810
7/2/2022,1810
8/2/2022,1790
9/2/2022,1780
10/2/2022,1880
11/2/2022,1845
14/02/2022,1890
15/02/2022,1880
16/02/2022,1880
17/02/2022,1945
18/02/2022,2090
21/02/2022,2170
22/02/2022,2180
23/02/2022,2200
24/02/2022,2220
25/02/2022,2220
1/3/2022,2260
2/3/2022,2290
4/3/2022,2450
7/3/2022,2820
8/3/2022,2840
9/3/2022,2650
10/3/2022,2570
11/3/2022,2520
14/03/2022,2400
15/03/2022,2370
16/03/2022,2390
17/03/2022,2350
18/03/2022,2390
21/03/2022,2360
22/03/2022,2550
23/03/2022,2500
24/03/2022,2640
25/03/2022,2660
28/03/2022,2630
29/03/2022,2530
30/03/2022,2510
31/03/2022,2440
1/4/2022,2510
4/4/2022,2640
5/4/2022,2670
6/4/2022,2650
7/4/2022,2760
8/4/2022,2800
11/4/2022,2630
12/4/2022,2670
13/04/2022,2790
14/04/2022,2780
18/04/2022,2900
19/04/2022,2850
20/04/2022,2820
21/04/2022,2790
22/04/2022,2740
25/04/2022,2620
26/04/2022,2500
27/04/2022,2560
28/04/2022,2600
9/5/2022,2530
10/5/2022,2420
11/5/2022,2400
12/5/2022,2330
13/05/2022,2330
17/05/2022,2390
18/05/2022,2400
19/05/2022,2460
20/05/2022,2490
23/05/2022,2530
24/05/2022,2570
25/05/2022,2490
27/05/2022,2470
30/05/2022,2560
31/05/2022,2510
2/6/2022,2510
3/6/2022,2500
6/6/2022,2450
7/6/2022,2420
8/6/2022,2420
9/6/2022,2400
10/6/2022,2290
13/06/2022,2260
14/06/2022,2180
15/06/2022,2170
16/06/2022,2150
17/06/2022,2110
20/06/2022,2070
21/06/2022,2150
22/06/2022,2020
23/06/2022,1965
24/06/2022,1970
27/06/2022,1890
28/06/2022,1865
29/06/2022,1835
30/06/2022,1800
1/7/2022,1750
4/7/2022,1720
5/7/2022,1790
6/7/2022,1720
7/7/2022,1720
8/7/2022,1715
11/7/2022,1720
12/7/2022,1740
13/07/2022,1720
14/07/2022,1650
15/07/2022,1540
18/07/2022,1560
19/07/2022,1655
20/07/2022,1695
21/07/2022,1675
22/07/2022,1780
25/07/2022,1755
26/07/2022,1790
27/07/2022,1785
28/07/2022,2000
29/07/2022,1955
1/8/2022,2080
2/8/2022,1995
3/8/2022,1970
4/8/2022,1970
5/8/2022,2020
8/8/2022,2060
9/8/2022,2180
10/8/2022,2120
11/8/2022,2240
12/8/2022,2220
15/08/2022,2130
16/08/2022,2080
18/08/2022,2050
19/08/2022,2060
22/08/2022,1985
23/08/2022,2030
24/08/2022,2010
25/08/2022,1995
26/08/2022,1955
29/08/2022,1900
30/08/2022,1985
